ventas(miles €),ESPAÑA,CATALUÑA,ARAGÓN,ILLES BALEARS,COMUNITAT VALENCIANA,REGIÓN DE MURCIA,ANDALUCÍA,COMUNIDAD DE MADRID,CASTILLA - LA MANCHA,EXTREMADURA,CASTILLA Y LEÓN,GALICIA,PRINCIPADO DE ASTURIAS,CANTABRIA,PAIS VASCO,LA RIOJA,C. FORAL DE NAVARRA,CANARIAS
CARNE TRANSFORMADA,5108068.4643,886900.3454100001,147382.201163,119407.631052,501373.68125,154933.987688,902963.51207,748172.8441699999,229295.635711,111741.19326,267844.56043,249110.588984,130715.515577,50561.116407,272356.678879,32250.482326,66431.618409,236626.994807
JAMON CURADO+PALETA,1556107.27,276912.754,51239.1521,35795.22399,161423.76700000002,43870.9494,278807.9,233223.956,64132.0419,31272.51668,74037.86,67978.9497,42926.9286,12558.773643000002,82026.26269999999,10760.819350000002,24860.509080000003,64278.9737
JAMON C.+P.ENTERO,507897.07,84710.744,21693.9221,7220.80299,47930.258,13511.345400000002,118534.611,69578.786,25817.8199,15708.38418,25556.163,19931.3217,13233.4486,1723.6312430000005,19537.5087,4568.07365,6465.737079999999,12174.5357
JAMON C.+P.LONCHA,1048210.2,192202.01,29545.230000000003,28574.420999999995,113493.509,30359.604,160273.28900000002,163645.17,38314.222,15564.132500000002,48481.69699999999,48047.628,29693.480000000003,10835.1424,62488.75399999999,6192.7457,18394.772,52104.43800000001
JAMON CURADO NORMAL,926392.16,137699.95200000002,32832.615,23196.891,120340.368,34991.648,165770.03,112348.896,46542.297,14386.732499999998,50289.23300000001,50876.921,30561.812,6658.2104,35790.991,6681.171299999999,17709.183,39715.228
JAMON C.N.ENTER/PI,249209.3,36448.926,10206.7559,6143.98054,31495.2457,9495.8544,53856.814000000006,25204.112800000003,18485.9726,2882.59255,14828.9866,12465.3946,8067.311600000001,774.3904750000002,6846.8151,2762.8458200000005,4945.424400000001,4297.877570000001
JAMON C.N.LONCHA,677182.85,101251.019,22625.858000000004,17052.91,88845.133,25495.789,111913.207,87144.79499999998,28056.323,11504.14,35460.25000000001,38411.529,22494.5,5883.8198,28944.174,3918.325,12763.7602,35417.348
JAMON IBERICO,448427.4900000001,88838.79499999998,13268.232,9736.0257,30937.659,5926.4921,87079.15500000001,92642.875,14602.959599999998,14161.35787,15082.4016,11667.0347,8585.455999999998,3285.31762,27066.879,1992.50564,4238.1716,19316.1973
JAMON IBE.ENTER/PI,203850.55,31494.278699999995,8401.04528,623.89629,13222.3158,3648.262813,55721.5959,39231.644,6408.801809,11931.539955,7181.612799999999,4516.645279,2744.17096,233.79091,9640.94747,887.0919199999998,925.97768,7036.93326
JAMON IBE.LONCHA,244576.93,57344.51199999999,4867.187900000001,9112.1296,17715.3409,2278.2288300000005,31357.562,53411.227,8194.1571,2229.81874,7900.788600000001,7150.388799999999,5841.2847,3051.52652,17425.9327,1105.413546,3312.19382,12279.2629
PALETA CURADA NORM.,62876.28300000001,12706.515499999998,2760.1778000000004,889.0266699999997,4821.658700000001,928.11038,10603.1548,9850.3592,1881.62899,1067.5107100000002,2880.9824000000003,2403.1918600000004,1463.484,491.9958699999999,6556.997600000001,272.3338529999999,835.4294199999999,2463.72261
PALETA C.N.ENTR/PI,17016.1086,3845.9681,1344.7034,210.985077,878.2776860000001,200.11574,3138.5417,1572.209506,698.10094,150.180314,405.124341,1500.1746,1124.0085130000002,57.03352,1248.935136,13.414113,187.5639,440.7714
PALETA C.N.LONCHA,45860.173,8860.5479,1415.4744800000003,678.0415499999999,3943.381,727.99461,7464.613200000001,8278.1494,1183.52797,917.33037,2475.8581,903.01736,339.475362,434.9623499999999,5308.0625,258.91973299999995,647.86543,2022.95131
PALETA IBERICA,118411.377,37667.515,2378.125458,1973.28181,5324.0837,2024.698846,15355.553199999998,18381.8181,1105.1569,1656.916206,5785.2427,3031.802608,2316.17518,2123.2507,12611.3926,1814.808859,2077.72744,2783.8274
PALETA IB.ENTER/PI,37821.1455,12921.574999999995,1741.41706,241.9412,2334.426528,167.111,5817.66324,3570.8204399999995,224.944009,744.07255,3140.4405,1449.1069200000002,1297.95522,658.416283,1800.809559,904.7217,406.771,398.95403
PALETA IBE.LONCHA,80590.22499999999,24745.939,636.708388,1731.34071,2989.657,1857.587876,9537.889899999998,14810.9978,880.2128520000001,912.843616,2644.8026,1582.6955879999998,1018.21996,1464.8344900000002,10810.5816,910.087119,1670.95634,2384.8733999999995
HUESOS JAMON CURADO,15562.5112,2604.16776,358.67153700000006,186.443926,1268.7388199999998,373.096647,3206.4153,4462.68609,791.6282799999999,214.962192,608.29869,543.3961390000001,245.08052,92.74216199999998,265.67619900000005,43.654662,145.649079,151.20311700000002
